%  Name/ID : Pilot 
%  Gender:  male
%  Age: 9
% weight(kg):0
% Height(cm):0
%  Wheel Size :24 in/540mm
%  Wheel Side :Right 
%  S/N :PRO00008
%  Comment:%  Data were taken at 00/00/0000 0:00:00 PM
% Comment : 
%%%%%
%Time(s) 	Push Start 	Push End 	Fx 	Fy 	Fz 	Tx 	Ty 	Tz 	Angle 
0.530000	0.000000	0.000000	-3.482635	-6.295596	-1.411463	-0.327910	0.060288	-1.393235	311.833753
0.535000	0.000000	0.000000	-2.336252	-7.416764	-2.031623	-0.326330	0.089100	-1.573403	313.058381
0.540000	1.000000	0.000000	-1.105904	-8.636391	-2.718668	-0.345767	0.124655	-1.791273	314.268884
0.545000	0.000000	0.000000	0.054125	-10.001298	-3.299095	-0.392576	0.162128	-2.046370	315.463244
0.550000	0.000000	0.000000	1.025074	-11.523794	-3.677059	-0.468751	0.199085	-2.335841	316.639443
0.555000	0.000000	0.000000	1.733402	-13.193359	-3.836916	-0.571782	0.236391	-2.654864	317.795463
0.560000	0.000000	0.000000	2.149416	-15.009228	-3.834981	-0.694842	0.277543	-2.996429	318.929287
0.565000	0.000000	0.000000	2.271393	-16.998285	-3.783108	-0.827563	0.326907	-3.351445	320.038896
0.570000	0.000000	0.000000	2.113710	-19.209581	-3.812423	-0.957988	0.387430	-3.709894	321.122273
0.575000	0.000000	0.000000	1.715746	-21.698782	-4.021319	-1.075692	0.458720	-4.062824	322.177399
0.580000	0.000000	0.000000	1.153733	-24.511189	-4.438741	-1.175027	0.536622	-4.404201	321.479733
0.585000	0.000000	0.000000	0.536485	-27.672219	-5.031207	-1.257287	0.614828	-4.731747	322.984894
0.590000	0.000000	0.000000	-0.015447	-31.190904	-5.743739	-1.331068	0.687706	-5.046571	322.512482
0.595000	0.000000	0.000000	-0.401293	-35.064938	-6.535283	-1.410584	0.752813	-5.352133	324.973454
0.600000	0.000000	0.000000	-0.569932	-39.271541	-7.385162	-1.512237	0.811744	-5.653058	327.126808
0.605000	0.000000	0.000000	-0.535010	-43.742724	-8.284471	-1.650221	0.869091	-5.954021	326.176456
0.610000	0.000000	0.000000	-0.359258	-48.346517	-9.235350	-1.832343	0.930309	-6.258720	326.632423
0.615000	0.000000	0.000000	-0.106890	-52.900735	-10.257214	-2.057370	0.999663	-6.569198	328.011208
0.620000	0.000000	0.000000	0.198919	-57.221692	-11.381590	-2.314836	1.079183	-6.885800	328.285866
0.625000	0.000000	0.000000	0.576261	-61.187322	-12.628332	-2.587460	1.168640	-7.207748	329.554821
0.630000	0.000000	0.000000	1.039231	-64.782786	-13.977847	-2.855203	1.265959	-7.533703	329.296642
0.635000	0.000000	0.000000	1.542081	-68.100535	-15.361037	-3.099238	1.367623	-7.861578	329.911877
0.640000	0.000000	0.000000	1.967937	-71.291217	-16.676443	-3.304582	1.469048	-8.187635	331.213791
0.645000	0.000000	0.000000	2.179902	-74.486589	-17.824530	-3.461316	1.565107	-8.505891	332.653000
0.650000	0.000000	0.000000	2.095851	-77.729407	-18.737953	-3.565114	1.650913	-8.808913	332.856247
0.655000	0.000000	0.000000	1.738624	-80.945636	-19.392728	-3.617609	1.722728	-9.090034	333.680256
0.660000	0.000000	0.000000	1.238874	-83.972846	-19.800988	-3.626389	1.778857	-9.345914	335.185383
0.665000	0.000000	0.000000	0.793950	-86.626814	-19.996011	-3.604036	1.820484	-9.578266	336.410393
0.670000	0.000000	0.000000	0.607083	-88.773284	-20.020725	-3.565822	1.852124	-9.794218	336.547722
0.675000	0.000000	0.000000	0.832316	-90.378590	-19.926602	-3.526287	1.880937	-10.005113	338.618679
0.680000	0.000000	0.000000	1.533804	-91.525019	-19.781839	-3.495606	1.914509	-10.223672	337.514519
0.685000	0.000000	0.000000	2.667042	-92.387576	-19.677457	-3.477146	1.957627	-10.460019	340.239197
0.690000	0.000000	0.000000	4.087201	-93.178273	-19.716713	-3.467348	2.009610	-10.718033	339.799709
0.695000	0.000000	0.000000	5.580394	-94.075837	-19.982565	-3.457967	2.063817	-10.994004	340.244690
0.700000	0.000000	0.000000	6.922146	-95.169252	-20.491540	-3.439745	2.109786	-11.278674	341.683899
0.705000	0.000000	0.000000	7.951782	-96.437609	-21.150809	-3.406296	2.137100	-11.561841	342.601292
0.710000	0.000000	0.000000	8.623145	-97.771508	-21.739031	-3.357108	2.139390	-11.837092	342.914402
0.715000	0.000000	0.000000	9.010061	-99.027971	-21.932531	-3.298769	2.116742	-12.103890	344.353611
0.720000	0.000000	0.000000	9.273907	-100.096864	-21.388743	-3.243754	2.075622	-12.365902	344.935921
0.725000	0.000000	0.000000	9.606191	-100.946176	-19.871729	-3.206787	2.026735	-12.626940	346.858562
0.730000	0.000000	0.000000	10.162253	-101.623363	-17.374617	-3.199750	1.981928	-12.887343	346.567390
0.735000	0.000000	0.000000	11.011657	-102.217754	-14.184222	-3.226813	1.951061	-13.143005	348.347210
0.740000	0.000000	0.000000	12.125670	-102.811645	-10.849407	-3.281475	1.939373	-13.387367	349.028397
0.745000	0.000000	0.000000	13.398685	-103.448729	-8.046142	-3.346839	1.946044	-13.615102	349.341507
0.750000	0.000000	0.000000	14.692734	-104.130555	-6.369811	-3.399781	1.964704	-13.825480	350.302811
0.755000	0.000000	0.000000	15.894689	-104.829628	-6.123893	-3.418488	1.986031	-14.023609	351.428944
0.760000	0.000000	0.000000	16.965141	-105.499033	-7.196639	-3.391003	2.001391	-14.218735	352.280384
0.765000	0.000000	0.000000	17.952853	-106.070318	-9.096726	-3.320916	2.005745	-14.420125	354.615013
0.770000	0.000000	0.000000	18.957629	-106.450681	-11.149191	-3.226971	1.998565	-14.632392	354.087669
0.775000	0.000000	0.000000	20.063411	-106.536128	-12.768881	-3.136328	1.982610	-14.852752	355.186302
0.780000	0.000000	0.000000	21.294069	-106.246455	-13.681941	-3.074556	1.961487	-15.071982	356.191586
0.785000	0.000000	0.000000	22.612390	-105.571110	-13.989280	-3.057081	1.937477	-15.278890	356.696957
0.790000	0.000000	0.000000	23.946027	-104.600433	-14.050543	-3.085699	1.910846	-15.466161	358.169159
0.795000	0.000000	0.000000	25.225016	-103.517486	-14.263646	-3.150894	1.880683	-15.634608	358.663544
0.800000	0.000000	0.000000	26.417922	-102.548712	-14.865207	-3.237912	1.846306	-15.793793	360.910282
0.805000	0.000000	0.000000	27.550014	-101.898929	-15.852281	-3.333355	1.808162	-15.958973	360.816898
0.810000	0.000000	0.000000	28.697498	-101.701615	-17.042491	-3.429661	1.767770	-16.146346	362.267094
0.815000	0.000000	0.000000	29.965013	-101.999895	-18.204771	-3.526392	1.726992	-16.369383	363.168007
0.820000	0.000000	0.000000	31.448668	-102.758206	-19.166995	-3.628725	1.687334	-16.638125	364.519325
0.825000	0.000000	0.000000	33.189369	-103.896095	-19.850815	-3.744360	1.649753	-16.961466	364.925854
0.830000	0.000000	0.000000	35.146842	-105.327707	-20.250313	-3.879963	1.614903	-17.350634	365.596020
0.835000	0.000000	0.000000	37.226569	-106.987772	-20.402274	-4.037942	1.583393	-17.821355	366.826488
0.840000	0.000000	0.000000	39.349085	-108.832605	-20.378162	-4.214184	1.555899	-18.392727	368.359116
0.845000	0.000000	0.000000	41.514849	-110.815708	-20.292083	-4.397468	1.533188	-19.081949	368.518417
0.850000	0.000000	0.000000	43.819961	-112.846852	-20.298964	-4.571114	1.516014	-19.895571	369.880756
0.855000	0.000000	0.000000	46.406406	-114.751266	-20.561269	-4.716532	1.504645	-20.819465	370.561909
0.860000	0.000000	0.000000	49.372055	-116.248423	-21.182456	-4.817155	1.497959	-21.811000	371.814384
0.865000	0.000000	0.000000	52.689896	-116.968494	-22.130629	-4.860779	1.492485	-22.797119	374.165493
0.870000	0.000000	0.000000	56.171659	-116.517367	-23.192849	-4.839401	1.482085	-23.680806	374.236904
0.875000	0.000000	0.000000	59.487464	-114.577002	-23.996183	-4.747231	1.458645	-24.356058	375.225674
0.880000	0.000000	0.000000	62.236806	-110.996698	-24.104076	-4.578494	1.413475	-24.728287	376.044189
0.885000	0.000000	0.000000	64.046162	-105.825758	-23.159229	-4.326399	1.338787	-24.733963	377.346069
0.890000	0.000000	0.000000	64.656774	-99.272448	-21.018383	-3.983730	1.228746	-24.351853	378.807285
0.895000	0.000000	0.000000	63.972214	-91.621477	-17.823393	-3.544681	1.079979	-23.600600	379.482944
0.900000	0.000000	0.000000	62.056676	-83.157040	-13.973440	-3.007176	0.891595	-22.523681	381.037544
0.905000	0.000000	0.000000	59.092028	-74.118283	-9.998554	-2.375220	0.664929	-21.169559	382.564661
0.910000	0.000000	0.000000	55.301919	-64.695093	-6.380341	-1.661385	0.403595	-19.576923	384.542234
0.915000	0.000000	0.000000	50.868787	-55.056513	-3.400914	-0.889632	0.114641	-17.771120	384.366453
0.920000	0.000000	0.000000	45.899047	-45.382831	-1.092642	-0.097985	-0.189091	-15.771983	385.250853
0.925000	0.000000	0.000000	40.464377	-35.875907	0.695135	0.660568	-0.486496	-13.608761	386.750521
0.930000	0.000000	0.000000	34.675413	-26.754593	2.161386	1.321384	-0.747695	-11.335406	387.706348
0.935000	0.000000	0.000000	28.725077	-18.253448	3.429034	1.817788	-0.937638	-9.038792	388.585255
0.940000	0.000000	0.000000	22.879347	-10.624769	4.493409	2.096740	-1.024526	-6.834127	389.881659
0.945000	0.000000	0.000000	17.427447	-4.132096	5.261985	2.136204	-0.991065	-4.846492	391.216532
0.950000	0.000000	0.000000	12.620336	0.977499	5.651304	1.956539	-0.843881	-3.183754	392.386593
0.955000	0.000000	0.000000	8.628693	4.527829	5.670219	1.618594	-0.615749	-1.910855	393.864271
0.960000	0.000000	0.000000	5.527490	6.477758	5.428130	1.206504	-0.357746	-1.035547	394.649811
0.965000	0.000000	0.000000	3.293647	6.963883	5.065677	0.801646	-0.123508	-0.510672	395.407867
0.970000	0.000000	0.000000	1.814655	6.303069	4.666313	0.460107	0.047530	-0.251173	396.929508
0.975000	0.000000	0.000000	0.914145	4.946668	4.214726	0.203955	0.140227	-0.158786	399.011452
0.980000	0.000000	0.000000	0.390533	3.385101	3.622040	0.027735	0.163231	-0.145681	399.165260
0.985000	0.000000	1.000000	0.062457	2.029557	2.789956	-0.086778	0.139624	-0.150060	401.472424
0.990000	0.000000	0.000000	-0.190814	1.117458	1.673645	-0.157017	0.094764	-0.140725	401.450451
0.995000	0.000000	0.000000	-0.412596	0.677659	0.317644	-0.193445	0.047689	-0.111868	403.439011
1.000000	0.000000	0.000000	-0.580817	0.567908	-1.142835	-0.201215	0.008728	-0.072270	403.482956
1.005000	0.000000	0.000000	-0.636505	0.569879	-2.511045	-0.185429	-0.018516	-0.034112	405.169374
1.010000	0.000000	0.000000	-0.517223	0.497634	-3.579279	-0.154559	-0.034295	-0.005600	406.712971
1.015000	0.000000	0.000000	-0.193213	0.263365	-4.188958	-0.119302	-0.040928	0.011105	406.839331
1.020000	0.000000	0.000000	0.305213	-0.119706	-4.283317	-0.088355	-0.041956	0.018001	408.064323
1.025000	0.000000	0.000000	0.887874	-0.571229	-3.933835	-0.065034	-0.041395	0.018265	409.866098
1.030000	0.000000	0.000000	1.429778	-0.987924	-3.327286	-0.047605	-0.042580	0.014380	411.096584
1.035000	0.000000	0.000000	1.803938	-1.283253	-2.711101	-0.032780	-0.047010	0.007817	412.414961
1.040000	0.000000	0.000000	1.912715	-1.409273	-2.309495	-0.019268	-0.054038	-0.000481	413.541077
1.045000	0.000000	0.000000	1.710786	-1.361144	-2.239544	-0.008808	-0.061740	-0.009618	415.040745
1.050000	0.000000	0.000000	1.212794	-1.173266	-2.464416	-0.004512	-0.068252	-0.018582	415.524143
1.055000	0.000000	0.000000	0.488063	-0.904859	-2.810713	-0.008247	-0.072449	-0.026390	415.958120
1.060000	0.000000	0.000000	-0.349609	-0.610323	-3.048911	-0.019010	-0.073585	-0.032424	417.979622
1.065000	0.000000	0.000000	-1.156730	-0.310924	-3.003032	-0.033327	-0.070596	-0.036751	418.831079
1.070000	0.000000	0.000000	-1.783764	0.008087	-2.636568	-0.047248	-0.062086	-0.040275	419.369427
1.075000	0.000000	0.000000	-2.103964	0.377146	-2.070426	-0.058332	-0.047258	-0.044622	420.907530
1.080000	0.000000	0.000000	-2.041724	0.814340	-1.523762	-0.066107	-0.027048	-0.051640	422.269852
1.085000	0.000000	0.000000	-1.598414	1.297737	-1.209328	-0.070903	-0.004544	-0.062483	424.088123
1.090000	0.000000	0.000000	-0.867910	1.749904	-1.235794	-0.072298	0.015627	-0.076637	424.840704
1.095000	0.000000	0.000000	-0.028242	2.049542	-1.560970	-0.068705	0.028708	-0.091543	425.983299
1.100000	0.000000	0.000000	0.700434	2.077146	-2.013233	-0.058546	0.031591	-0.103292	426.307396
1.105000	0.000000	0.000000	1.126253	1.783308	-2.369342	-0.042064	0.024381	-0.108314	427.999308
1.110000	0.000000	0.000000	1.154570	1.239512	-2.452937	-0.022304	0.010912	-0.105280	428.806820
1.115000	0.000000	0.000000	0.815946	0.625704	-2.206802	-0.004421	-0.002383	-0.095982	430.822845
1.120000	0.000000	0.000000	0.240215	0.151553	-1.705882	0.006425	-0.008894	-0.084398	430.723969
1.125000	0.000000	0.000000	-0.398295	-0.037852	-1.113692	0.007407	-0.004349	-0.074438	432.685062
1.130000	0.000000	0.000000	-0.931771	0.084910	-0.613902	-0.000740	0.011797	-0.067834	434.025412
1.135000	0.000000	0.000000	-1.235414	0.432843	-0.349413	-0.014339	0.036434	-0.063648	436.266657
1.140000	0.000000	0.000000	-1.253312	0.847064	-0.383654	-0.028873	0.063912	-0.059834	436.002968
1.145000	0.000000	0.000000	-1.010604	1.159821	-0.687617	-0.041189	0.087577	-0.055801	437.585033
1.150000	0.000000	0.000000	-0.601622	1.255622	-1.154875	-0.050400	0.101368	-0.053847	438.513395
1.155000	0.000000	0.000000	-0.153642	1.105936	-1.640580	-0.056971	0.101276	-0.057987	439.897690
1.160000	0.000000	0.000000	0.217090	0.773260	-2.008215	-0.060739	0.086435	-0.070910	441.842304
1.165000	0.000000	0.000000	0.436645	0.389574	-2.164884	-0.059417	0.059555	-0.091442	442.770649
1.170000	0.000000	0.000000	0.485465	0.110992	-2.075897	-0.048838	0.026459	-0.114330	442.787128
1.175000	0.000000	0.000000	0.398676	0.061593	-1.762266	-0.025002	-0.005239	-0.132245	445.187693
1.180000	0.000000	0.000000	0.259971	0.282292	-1.291100	0.013095	-0.027957	-0.138636	445.176706
1.185000	0.000000	0.000000	0.181893	0.700839	-0.765323	0.061330	-0.036066	-0.130125	446.571987
1.190000	0.000000	0.000000	0.264521	1.143403	-0.309356	0.110276	-0.027530	-0.107725	447.742048
1.195000	0.000000	0.000000	0.542235	1.393638	-0.041652	0.147558	-0.004810	-0.076671	448.873657
1.200000	0.000000	0.000000	0.947574	1.281534	-0.032178	0.162228	0.025604	-0.044968	451.246738
1.205000	0.000000	0.000000	1.321395	0.765133	-0.262528	0.149424	0.055227	-0.021000	451.246738
1.210000	0.000000	0.000000	1.475404	-0.035938	-0.621554	0.112853	0.076360	-0.010771	454.454798
1.215000	0.000000	0.000000	1.282198	-0.879418	-0.956313	0.063391	0.084273	-0.015816	453.169380
1.220000	0.000000	0.000000	0.748194	-1.496676	-1.156435	0.014378	0.078041	-0.032796	455.251324
1.225000	0.000000	0.000000	0.029282	-1.694165	-1.216751	-0.023652	0.060312	-0.054996	455.602886
1.230000	0.000000	0.000000	-0.621513	-1.418312	-1.233744	-0.046099	0.036468	-0.074847	458.151749
1.235000	0.000000	0.000000	-0.952933	-0.769905	-1.337590	-0.054333	0.013299	-0.086327	458.426407
1.240000	0.000000	0.000000	-0.821164	0.035054	-1.603964	-0.053472	-0.002804	-0.086567	460.250172
1.245000	0.000000	0.000000	-0.255219	0.743413	-2.001242	-0.049533	-0.007721	-0.076546	461.376287
1.250000	0.000000	0.000000	0.554767	1.146184	-2.405971	-0.047200	-0.000926	-0.060806	462.853966
1.255000	0.000000	0.000000	1.343903	1.131734	-2.674746	-0.048568	0.014290	-0.046048	463.024254
1.260000	0.000000	0.000000	1.883085	0.706062	-2.722331	-0.052782	0.031902	-0.038744	465.446791
1.265000	0.000000	0.000000	2.053449	-0.013617	-2.555103	-0.056551	0.045188	-0.042669	466.891510
